Left Home,"December 11, 2018 at 08:39AM",,"https://maps.google.com/?q=53.369536272938745,-6.235619199999973&z=17"
Arrived At Work,"December 11, 2018 at 09:34AM",,"https://maps.google.com/?q=53.334460546961814,-6.2549589999999755&z=17"
Left Work,"December 11, 2018 at 01:18PM",,"https://maps.google.com/?q=53.334068956729624,-6.254830253967261&z=18"
Arrived At Work,"December 11, 2018 at 01:53PM",,"https://maps.google.com/?q=53.334460546961814,-6.2549589999999755&z=17"
Left Work,"December 11, 2018 at 06:33PM",,"https://maps.google.com/?q=53.33402489271903,-6.254830253967261&z=18"
Arrived Home,"December 11, 2018 at 07:10PM",,"https://maps.google.com/?q=53.36944512097854,-6.2361662251312255&z=18"
Left Home,"December 11, 2018 at 07:47PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"December 11, 2018 at 09:08PM",,"https://maps.google.com/?q=53.36944512097854,-6.2361662251312255&z=18"
Left Home,"December 12, 2018 at 07:56AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"December 12, 2018 at 08:28AM",,"https://maps.google.com/?q=53.334460546961814,-6.2549589999999755&z=17"
Left Work,"December 12, 2018 at 01:21PM",,"https://maps.google.com/?q=53.33402489271903,-6.254830253967261&z=18"
Arrived At Work,"December 12, 2018 at 01:28PM",,"https://maps.google.com/?q=53.334460546961814,-6.2549589999999755&z=17"
Left Work,"December 12, 2018 at 05:10PM",,"https://maps.google.com/?q=53.33402489271903,-6.254830253967261&z=18"
Arrived Home,"December 12, 2018 at 06:09PM",,"https://maps.google.com/?q=53.36944512097854,-6.2361662251312255&z=18"
Left Home,"December 13, 2018 at 08:48AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"December 13, 2018 at 09:41AM",,"https://maps.google.com/?q=53.334460546961814,-6.2549589999999755&z=17"
Left Work,"December 13, 2018 at 05:29PM",,"https://maps.google.com/?q=53.33402489271903,-6.254830253967261&z=18"
Arrived Home,"December 13, 2018 at 11:58PM",,"https://maps.google.com/?q=53.36944512097854,-6.2361662251312255&z=18"
Left Home,"December 14, 2018 at 08:43AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"December 14, 2018 at 09:29AM",,"https://maps.google.com/?q=53.334460546961814,-6.2549589999999755&z=17"
Left Work,"December 14, 2018 at 01:03PM",,"https://maps.google.com/?q=53.33402489271903,-6.254830253967261&z=18"
Arrived At Work,"December 14, 2018 at 01:29PM",,"https://maps.google.com/?q=53.334460546961814,-6.2549589999999755&z=17"
Left Work,"December 14, 2018 at 06:03PM",,"https://maps.google.com/?q=53.33402489271903,-6.254830253967261&z=18"
Arrived Home,"December 14, 2018 at 06:46PM",,"https://maps.google.com/?q=53.36944512097854,-6.2361662251312255&z=18"
Left Home,"December 15, 2018 at 09:53AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"December 15, 2018 at 11:10AM",,"https://maps.google.com/?q=53.36944512097854,-6.2361662251312255&z=18"
Left Home,"December 15, 2018 at 11:18AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"December 15, 2018 at 11:35AM",,"https://maps.google.com/?q=53.36944512097854,-6.2361662251312255&z=18"
Left Home,"December 15, 2018 at 12:53PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"December 15, 2018 at 02:33PM",,"https://maps.google.com/?q=53.36944512097854,-6.2361662251312255&z=18"
Left Home,"December 15, 2018 at 03:09PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"December 15, 2018 at 07:20PM",,"https://maps.google.com/?q=53.36944512097854,-6.2361662251312255&z=18"
Left Home,"December 16, 2018 at 03:53PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"December 16, 2018 at 05:39PM",,"https://maps.google.com/?q=53.36944512097854,-6.2361662251312255&z=18"
Left Home,"December 17, 2018 at 08:02AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"December 17, 2018 at 08:40AM",,"https://maps.google.com/?q=53.334460546961814,-6.2549589999999755&z=17"
Left Work,"December 17, 2018 at 05:12PM",,"https://maps.google.com/?q=53.33402489271903,-6.254830253967261&z=18"
Arrived Home,"December 17, 2018 at 06:13PM",,"https://maps.google.com/?q=53.36944512097854,-6.2361662251312255&z=18"
Left Home,"December 18, 2018 at 08:53AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"December 18, 2018 at 09:37AM",,"https://maps.google.com/?q=53.334460546961814,-6.2549589999999755&z=17"
Left Work,"December 18, 2018 at 01:31PM",,"https://maps.google.com/?q=53.33402489271903,-6.254830253967261&z=18"
Arrived At Work,"December 18, 2018 at 01:35PM",,"https://maps.google.com/?q=53.334460546961814,-6.2549589999999755&z=17"
Left Work,"December 18, 2018 at 06:18PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"December 18, 2018 at 06:56PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"December 19, 2018 at 08:40AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"December 19, 2018 at 09:34AM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"December 19, 2018 at 01:17PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived At Work,"December 19, 2018 at 01:59PM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"December 19, 2018 at 06:24PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"December 19, 2018 at 07:01PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"December 19, 2018 at 07:38PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"December 19, 2018 at 08:25PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"December 20, 2018 at 08:36AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"December 20, 2018 at 09:33AM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"December 20, 2018 at 01:13PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived At Work,"December 20, 2018 at 01:19PM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"December 20, 2018 at 06:40PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"December 20, 2018 at 07:14PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"December 20, 2018 at 10:03PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"December 20, 2018 at 11:10PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"December 21, 2018 at 08:00AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"December 21, 2018 at 08:39AM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"December 21, 2018 at 01:13PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived At Work,"December 21, 2018 at 01:26PM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"December 21, 2018 at 05:06PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"December 21, 2018 at 06:04PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"December 22, 2018 at 10:46AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"December 22, 2018 at 01:35PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"December 22, 2018 at 02:27PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"December 22, 2018 at 11:23PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"December 23, 2018 at 11:18AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"December 23, 2018 at 02:50PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"December 24, 2018 at 11:13AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"December 24, 2018 at 12:16PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"December 26, 2018 at 11:22AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"December 26, 2018 at 01:11PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"December 26, 2018 at 03:51PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"December 26, 2018 at 08:50PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"December 27, 2018 at 03:51PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"December 28, 2018 at 02:09PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"December 29, 2018 at 04:37PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"December 29, 2018 at 08:57PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"December 30, 2018 at 07:31PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"December 30, 2018 at 07:45PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"December 31, 2018 at 02:22PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"December 31, 2018 at 02:26PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"December 31, 2018 at 04:13PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"December 31, 2018 at 05:01PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 01, 2019 at 11:06AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"January 01, 2019 at 04:07PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 01, 2019 at 06:26PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"January 01, 2019 at 06:38PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 01, 2019 at 07:48PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"January 01, 2019 at 08:10PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 02, 2019 at 08:35AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"January 02, 2019 at 09:29AM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 02, 2019 at 01:10PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived At Work,"January 02, 2019 at 01:18PM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 02, 2019 at 06:10PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"January 02, 2019 at 06:56PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 02, 2019 at 07:25PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"January 02, 2019 at 08:41PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 03, 2019 at 08:35AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"January 03, 2019 at 09:32AM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 03, 2019 at 01:08PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived At Work,"January 03, 2019 at 02:00PM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 03, 2019 at 06:06PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"January 03, 2019 at 06:44PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 04, 2019 at 08:44AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"January 04, 2019 at 09:29AM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 04, 2019 at 01:25PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived At Work,"January 04, 2019 at 01:34PM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 04, 2019 at 06:23PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"January 04, 2019 at 07:58PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 05, 2019 at 12:36PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"January 05, 2019 at 01:06PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 06, 2019 at 11:13AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"January 06, 2019 at 12:14PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 06, 2019 at 03:05PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"January 06, 2019 at 08:25PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 07, 2019 at 07:49AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"January 07, 2019 at 08:32AM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 07, 2019 at 01:23PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived At Work,"January 07, 2019 at 01:56PM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 07, 2019 at 05:06PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"January 07, 2019 at 06:06PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 07, 2019 at 06:44PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"January 07, 2019 at 08:09PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 08, 2019 at 08:44AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"January 08, 2019 at 09:37AM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 08, 2019 at 06:29PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"January 08, 2019 at 07:08PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 09, 2019 at 08:36AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"January 09, 2019 at 09:31AM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 09, 2019 at 01:13PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived At Work,"January 09, 2019 at 02:15PM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 09, 2019 at 03:12PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived At Work,"January 09, 2019 at 03:23PM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 09, 2019 at 06:13PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"January 09, 2019 at 06:45PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 10, 2019 at 08:42AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"January 10, 2019 at 09:35AM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 10, 2019 at 06:36PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"January 10, 2019 at 07:12PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 11, 2019 at 07:55AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"January 11, 2019 at 08:31AM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 11, 2019 at 01:09PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived At Work,"January 11, 2019 at 02:00PM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 11, 2019 at 05:06PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"January 11, 2019 at 06:02PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 12, 2019 at 11:43AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"January 12, 2019 at 02:12PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 13, 2019 at 03:42PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"January 13, 2019 at 05:19PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 14, 2019 at 07:59AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"January 14, 2019 at 08:44AM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 14, 2019 at 05:09PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"January 14, 2019 at 05:58PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 15, 2019 at 08:34AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"January 15, 2019 at 09:18AM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 15, 2019 at 01:04PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived At Work,"January 15, 2019 at 02:07PM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 15, 2019 at 06:39PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"January 15, 2019 at 07:24PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 15, 2019 at 10:04PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"January 15, 2019 at 10:30PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 16, 2019 at 08:43AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"January 16, 2019 at 09:30AM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 16, 2019 at 01:19PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived At Work,"January 16, 2019 at 01:23PM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 16, 2019 at 06:41PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"January 16, 2019 at 07:16PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 17, 2019 at 08:42AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"January 17, 2019 at 09:33AM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 17, 2019 at 01:22PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived At Work,"January 17, 2019 at 02:08PM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 17, 2019 at 06:46PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"January 17, 2019 at 07:24PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 18, 2019 at 07:57AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"January 18, 2019 at 08:34AM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 18, 2019 at 01:20PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived At Work,"January 18, 2019 at 01:30PM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 18, 2019 at 05:06PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"January 18, 2019 at 05:59PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 19, 2019 at 12:23PM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"January 19, 2019 at 02:03PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 20, 2019 at 10:30AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived Home,"January 20, 2019 at 11:35AM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 21, 2019 at 07:56AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"January 21, 2019 at 08:32AM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 21, 2019 at 05:06PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"January 21, 2019 at 05:56PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 22, 2019 at 08:47AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"January 22, 2019 at 09:32AM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 22, 2019 at 01:12PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived At Work,"January 22, 2019 at 01:20PM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 22, 2019 at 06:36PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"January 22, 2019 at 07:12PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 23, 2019 at 08:56AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"January 23, 2019 at 09:37AM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 23, 2019 at 01:08PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived At Work,"January 23, 2019 at 02:09PM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 23, 2019 at 06:08PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"January 23, 2019 at 06:41PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 24, 2019 at 07:51AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"January 24, 2019 at 08:28AM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 24, 2019 at 01:08PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived At Work,"January 24, 2019 at 01:14PM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 24, 2019 at 05:06PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"January 24, 2019 at 06:04PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
Left Home,"January 25, 2019 at 08:41AM",,"https://maps.google.com/?q=53.36951553622526,-6.2363057&z=18"
Arrived At Work,"January 25, 2019 at 09:30AM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 25, 2019 at 01:08PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived At Work,"January 25, 2019 at 02:09PM",,"https://maps.google.com/?q=53.33399285914321,-6.2547336944427245&z=18"
Left Work,"January 25, 2019 at 06:07PM",,"https://maps.google.com/?q=53.33387421252122,-6.25497546931149&z=18"
Arrived Home,"January 25, 2019 at 06:58PM",,"https://maps.google.com/?q=53.36946943640538,-6.236269499999942&z=18"
